I_68,I_68_corr_by_N5_bgs
1.683883,9.42414e-05
1.612928,7.737320000000001e-05
1.655318,9.59146e-05
1.662641,9.66521e-05
1.734765,0.000126716
1.604433,6.12952e-05
1.637107,9.65736e-05
1.617672,9.16435e-05
1.63993,8.48077e-05
1.655913,9.49519e-05
1.634059,7.61444e-05
1.60979,7.4269e-05
1.6281,0.000102426
1.633097,8.68184e-05
1.604957,7.84247e-05
1.631171,9.167790000000001e-05
1.618669,7.33753e-05
1.588715,7.139699999999999e-05
1.652106,9.58277e-05
1.585338,7.76534e-05
1.603012,9.76166e-05
1.618036,8.97702e-05
1.615019,9.79568e-05
1.602595,9.35295e-05
1.529656,3.85935e-05
1.618739,9.279380000000001e-05
1.593846,7.92568e-05
1.585541,7.32137e-05
1.654709,0.000114787
1.640868,0.000103074
1.621731,9.49395e-05
1.538418,7.3432e-05
1.616983,0.000107751
1.564264,7.46546e-05
1.522366,4.98036e-05
1.560558,8.95297e-05
1.597334,9.446240000000001e-05
1.585203,9.271340000000001e-05
1.533202,6.300300000000001e-05
1.541345,7.34494e-05
1.543961,6.330619999999999e-05
1.549718,7.57853e-05
1.5408,0.000108972
1.568345,9.390330000000001e-05
1.57354,0.000112377
1.507349,3.24303e-05
1142.926,0.012123582
