Complex_Number,Phase
(0.7266839032274532-1.5865293964403868j),-1.1412817061869103
(-0.5133968994258851+1.0854865427522924j),2.0125827937059637
0j,0.0
(0.5125724353120802-1.0183065353255891j),-1.1044661672776594
(-0.7243468897095866+1.3961019625994204j),2.0493983326152163
(0.5118269361389238-0.9575608471252437j),-1.0799224746714853
0j,0.0
(-0.51114879626342+0.9023038127564185j),2.0862138715244707
(0.7224254900295932-1.2395400909414853j),-1.043106935762236
(-0.5105285661594081+0.8517654542080493j),2.110757564130639
0j,0.0
(0.5099584731877371-0.8053124316569438j),-1.0062913968529792
(-0.7208107481451265+1.1079656900979877j),2.147573103039899
(0.5094320647164103-0.7624189637411547j),-0.9817477042468084
0j,0.0
(-0.5089439386332231+0.7226448688537737j),2.18438864194915
(0.7194285111995029-0.9953365450353182j),-0.9449321653375542
(-0.5084895372603313+0.6856187726366514j),2.20893233455532
0j,0.0
(0.5080649879227899-0.6510251169857568j),-0.9081166264282992
(-0.7182265354112758+0.8973956631609319j),2.245747873464578
(0.5076669782949566-0.6185940028770069j),-0.8835729338221354
0j,0.0
(-0.5072926579826138+0.5880931709517014j),2.2825634123738334
(0.7171669268984431-0.811055328184775j),-0.8467573949128746
(-0.5069395601146454+0.5593216125596285j),2.3071071049800063
0j,0.0
(0.5066055383517316-0.5321044370178498j),-0.8099418560036177
(-0.7162215080456704+0.734019536708729j),2.343922643889255
(0.5062887158853293-0.5062887158853293j),-0.7853981633974483
0j,0.0
(-0.5059874438440275+0.4817400937764056j),2.3807381827985137
(0.7153688682016401-0.6645436794880766j),-0.7485826244881948
(-0.5057002671409272+0.4583400054954012j),2.4052818754046905
0j,0.0
(0.5054258962516975-0.43598337642288953j),-0.7117670855789326
(-0.7145924248924729+0.6012765628200327j),2.442097414313944
(0.5051631837533357-0.41457671081384007j),-0.6872233929727628
0j,0.0
(-0.5049111047098229+0.3940364935598737j),2.478912953223204
(0.7138791131020739-0.5431536068607805j),-0.650407854063513
(-0.5046687401859682+0.3742878468453412j),2.503456645829369
0j,0.0
(0.5044352633199924-0.35526339529231876j),-0.6135923151542536
(-0.7132184770563441+0.48932284125762493j),2.5402721847386265
(0.5042099275004652-0.3369023025826472j),-0.5890486225480833
0j,0.0
(-0.5039920562831774+0.31914944985029337j),2.5770877236478786
(0.7126020269541833-0.4390924895077326j),-0.5522330836388291
(-0.5037810347534837+0.3019547318576521j),2.601631416254044
0j,0.0
(0.5035763020951158-0.28527245147770586j),-0.5154175447295768
(-0.7120227742510075+0.3918931023549064j),2.6384469551633023
(0.503377345170259-0.26906079657884874j),-0.49087385212340495
0j,0.0
(-0.5031836929507527+0.2532813862602019j),2.675262494072564
(0.7114748897937702-0.3472497015200915j),-0.454058313214145
(-0.5029949116682513+0.2378988756716467j),2.6998061866787317
0j,0.0
(0.50281060057387-0.22288061049555452j),-0.41724277430489715
(-0.7109534480393993+0.3047609377950451j),2.7366217255879857
(0.5026303882161098-0.208196323659962j),-0.39269908169871637
0j,0.0
(-0.502453929160775+0.19381786806748735j),2.773437264497236
(0.7104542325607319-0.2640832430321609j),-0.35588354278946743
(-0.5022809010888034+0.17971898011658993j),2.797980957103407
0j,0.0
(0.5021110022178821-0.1658750696064324j),-0.31906800388021744
(-0.7099735857825529+0.2249185861511691j),2.8347964960126673
(0.501943949001963-0.15226303228651616j),-0.2945243112740389
0j,0.0
(-0.5017794740696226+0.1388610818665157j),2.8716120349219287
(0.7095082909918435-0.18700485895289276j),-0.2577087723647884
