frequency, magnitude
-1.082253613024888317e+01 1.032767101716559210e+01
-1.066338118715698791e+01 1.279341802669427253e+01
-1.050422624406509264e+01 1.684708671286874093e+01
-1.034507130097319738e+01 2.475150249822473825e+01
-1.018591635788130212e+01 4.695884955383584014e+01
-1.002676141478940686e+01 4.911457857665100732e+02
-9.867606471697511594e+00 5.754314723625405037e+01
-9.708451528605616332e+00 2.706363739813555469e+01
-9.549296585513721070e+00 1.764255017562122774e+01
-9.390141642421825807e+00 1.305927712792417950e+01
-9.230986699329930545e+00 1.034873259238314169e+01
-9.071831756238035283e+00 8.557850927678515518e+00
-8.912676813146140020e+00 7.286490430397861928e+00
-8.753521870054244758e+00 6.337248738020629268e+00
-8.594366926962349496e+00 5.601497140648935336e+00
-8.435211983870452457e+00 5.014521674036906518e+00
-8.276057040778557194e+00 4.535369097298286967e+00
-8.116902097686661932e+00 4.136859053622058191e+00
-7.957747154594767558e+00 3.800243633852907976e+00
-7.798592211502872296e+00 3.512173039764359128e+00
-7.639437268410976145e+00 3.262883562657217684e+00
-7.480282325319080883e+00 3.045069573408918373e+00
-7.321127382227185620e+00 2.853156117724494845e+00
-7.161972439135290358e+00 2.682815409518595207e+00
-7.002817496043395096e+00 2.530636864836723010e+00
-6.843662552951499833e+00 2.393896652952497206e+00
-6.684507609859604571e+00 2.270393425283403044e+00
-6.525352666767709309e+00 2.158329064425708932e+00
-6.366197723675814046e+00 2.056220688632321103e+00
-6.207042780583918784e+00 1.962834755475203252e+00
-6.047887837492023522e+00 1.877137050803512786e+00
-5.888732894400127371e+00 1.798254268822639057e+00
-5.729577951308232109e+00 1.725444166418950376e+00
-5.570423008216336846e+00 1.658072140039586140e+00
-5.411268065124441584e+00 1.595592669138248487e+00
-5.252113122032546322e+00 1.537534486543606693e+00
-5.092958178940651059e+00 1.483488631174865624e+00
-4.933803235848755797e+00 1.433098750321958326e+00
-4.774648292756860535e+00 1.386053172550323342e+00
-4.615493349664965272e+00 1.342078385283735686e+00
-4.456338406573070010e+00 1.300933634965443009e+00
-4.297183463481174748e+00 1.262406430510501165e+00
-4.138028520389278597e+00 1.226308778269864730e+00
-3.978873577297383779e+00 1.192474012934161554e+00
-3.819718634205488073e+00 1.160754116645684286e+00
-3.660563691113592810e+00 1.131017440158739840e+00
-3.501408748021697548e+00 1.103146756706413489e+00
-3.342253804929802286e+00 1.077037592459900273e+00
-3.183098861837907023e+00 1.052596787932517097e+00
-3.023943918746011761e+00 1.029741253010699742e+00
-2.864788975654116054e+00 1.008396884980912844e+00
-2.705634032562220792e+00 9.884976243365106718e-01
-2.546479089470325530e+00 9.699846275132396611e-01
-2.387324146378430267e+00 9.528055393188352706e-01
-2.228169203286535005e+00 9.369138508006215060e-01
-2.069014260194639299e+00 9.222683307136764208e-01
-1.909859317102744036e+00 9.088325208679189915e-01
-1.750704374010848774e+00 8.965742873347212205e-01
-1.591549430918953512e+00 8.854654209684180710e-01
-1.432394487827058027e+00 8.754812819402763013e-01
-1.273239544735162765e+00 8.666004840452898872e-01
